book_id,author_id
ld5GswEACAAJ,666
5XWXuQAACAAJ,667
5XWXuQAACAAJ,668
DYmUGGwZ8_oC,667
LCZvVRqH-m8C,670
GAcCAAAACAAJ,671
JUdOAAAACAAJ,668
LvsQ34A1fOMC,667
UfYGAAAACAAJ,676
UfYGAAAACAAJ,677
Ndgf0AEACAAJ,666
Gdvd0AEACAAJ,666
z5jCtAEACAAJ,667
jZgjyAEACAAJ,666
aWZzLPhY4o0C,683
ZVwX0QEACAAJ,667
6463zwEACAAJ,666
ayczzwEACAAJ,686
PC8AAAAACAAJ,687
gHzeCYjKGBsC,688
gHzeCYjKGBsC,689
WmdWtQAACAAJ,667
T8P3AAAACAAJ,667
q0JyPwAACAAJ,667
e1ZJzwEACAAJ,667
IOyjMQEACAAJ,695
neSkMQEACAAJ,666
o5WfPwAACAAJ,667
U7sA0AEACAAJ,666
