id,title,description,publishedDate,clave_compuesta,Book_ratings_count,Book_average_rating
ld5GswEACAAJ,The Fellowship Of The Ring,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.,Desconocido,the fellowship of the ring_Desconocido,155903,3.42
5XWXuQAACAAJ,El Señor De Los Anillos,"Cuatro volúmenes en uno.Incluye los mapas y apéndices originales de J.R.R. Tolkien, y un índice de canciones, nombres de personajes, lugares y cosas. 50 ilustraciones en color de Alan Lee.",Desconocido,el señor de los anillos_Desconocido,145267,4.23
LCZvVRqH-m8C,El Señor De Los Anillos,Desconocido,1999,el señor de los anillos_1999,138669,3.31
Ndgf0AEACAAJ,El Señor De Los Anillos,Desconocido,2007,el señor de los anillos_2007,150898,4.04
Gdvd0AEACAAJ,El Señor De Los Anillos: La Comunidad Del Anillo,Desconocido,1993,el señor de los anillos: la comunidad del anillo_1993,198283,4.04
z5jCtAEACAAJ,El Señor De Los Anillos,Desconocido,1986,el señor de los anillos_1986,83354,4.08
jZgjyAEACAAJ,The Return Of The King,Desconocido,1967,the return of the king_1967,155977,4.03
aWZzLPhY4o0C,The Fellowship Of The Ring,"Begin your journey into Middle-earth... The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power. The Fellowship of the Ring is the first part of J.R.R. Tolkien’s epic adventure The Lord of the Rings. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them. Sauron, the Dark Lord, has gathered to him all the Rings of Power—the means by which he intends to rule Middle-earth. All he lacks in his plans for dominion is the One Ring—the ring that rules them all—which has fallen into the hands of the hobbit, Bilbo Baggins. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.",2012,the fellowship of the ring_2012,167997,3.9
QtSEvgEACAAJ,El Señor De Los Anillos,Desconocido,Desconocido,el señor de los anillos_Desconocido,189938,4.34
ZVwX0QEACAAJ,El Señor De Los Anillos,Desconocido,1985,el señor de los anillos_1985,199872,4.2
ZcAlEAAAQBAJ,The Lord Of The Rings Illustrated,"A sumptuous slipcased edition of Tolkien's classic epic tale of adventure, fully illustrated in color by the author himself. This deluxe volume is quarterbound in leather and includes many special features unique to this edition. Since it was first published in 1954, The Lord of the Rings has been a book people have treasured. Steeped in unrivalled magic and otherworldliness, its sweeping fantasy and epic adventure has touched the hearts of young and old alike. Over 100 million copies of its many editions have been sold around the world, and occasional collectors' editions become prized and valuable items of publishing. This one-volume deluxe slipcased edition contains the complete text, fully corrected and reset, which is printed in red and black, and features thirty color illustrations, maps, and sketches drawn by Tolkien himself as he composed this epic work. These include the pages from the Book of Mazarbul, marvelous facsimiles created by Tolkien to accompany the famous ""Bridge of Khazad-dum"" chapter. Also appearing are two poster-size, fold-out maps revealing all the detail of Middle-earth. This very special deluxe edition is quarterbound in cloth and red leather, with raised ribs on the spine and stamped in two foils. The pages are edged in gold and contained within are special features unique to this edition.",2021,the lord of the rings illustrated_2021,179415,4.13
