id,title,description,publishedDate,authors
-Q7y6beGZHAC,"Estudio del sector editorial de los juegos de rol en España :historia, tipología, perfil de lector, del autor, del traductor y del editor",Desconocido,2009-06-18,Héctor Sevillano Pareja
31EczgEACAAJ,$25 PlayStation Store Gift Card [Digital Code],"Kindly don't look past this. This Saturday, for the first run through as of late, we submissively request that you safeguard Wikipedia's freedom. 98% of our perusers don't give; they look the alternate way.",2020-12-07,Charlie Vigil
5XWXuQAACAAJ,El señor de los anillos,"Cuatro volúmenes en uno.Incluye los mapas y apéndices originales de J.R.R. Tolkien, y un índice de canciones, nombres de personajes, lugares y cosas. 50 ilustraciones en color de Alan Lee.",1993,"Alan Lee, J. R. R. Tolkien"
6463zwEACAAJ,The return of the king,Desconocido,1965,John Ronald Reuel Tolkien
70jL1nnXg3wC,Daniel in the Lions' Den,Desconocido,1996,Ronne Randall
BABWAQAACAAJ,The Lord of the Rings,"For over fifty years, J.R.R. Tolkien's peerless fantasy has accumulated worldwide acclaim as the greatest adventure tale ever written. No other writer has created a world as distinct as Middle-earth, complete with its own geography, history, languages, and legends. And no one has created characters as endearing as Tolkien's large-hearted, hairy-footed hobbits. Tolkien's The Lord of the Rings continues to seize the imaginations of readers of all ages, and this new three-volume paperback edition is designed to appeal to the youngest of them.",2002,J. R. R. Tolkien
DYmUGGwZ8_oC,El Señor de los Anillos no 01/03 La Comunidad del Anillo (edición revisada),"Primera entrega de la trilogía. «Este libro es como un relámpago en un cielo claro. Decir que la novela heroica, espléndida, elocuente y desinhibida, ha retornado de pronto en una época de un antirromanticismo casi patológico, sería inadecuado. Para quienes vivimos en esa extraña época, el retorno —y el alivio que nos trae— es sin duda lo más importante. Pero para la historia misma de la novela —una historia que se remonta a la Odisea y a antes de la Odisea— no es un retorno, sino un paso adelante o una revolución: la conquista de un territorio nuevo.» —C.S. Lewis, Time & Tide, 1954 «La obra de Tolkien, difundida en millones de ejemplares, traducida a docenas de lenguas, inspiradora de slogans pintados en las paredes de Nueva York y de Buenos Aires... una coherente mitología de una autenticidad universal creada en pleno siglo veinte.» —George Steiner, Le Monde, 1973",2010-07-15,J. R. R. Tolkien
FlGcUAnpMmIC,Hobbit's Travels,"Printed on deluxe recycled parchment paper, this journal celebrating J. R. R. Tolkien's classic tales makes a lovely gift, and is just as nice to keep! With magical two-color illustrations throughout (drawings made by Frodo Baggins's devoted companion, Sam Gamgee, on their travels throughout Middle-earth), it provides ample space for recording personal thoughts, reflections on Tolkien's masterpiece, or fantasies of your own creation.",2002-01-04,Sam Gamgee
GAcCAAAACAAJ,Los mundos mágicos de El señor de los anillos,Desconocido,2003,David Colbert
IOyjMQEACAAJ,The Power of the Ring,"Digging deep into J. R. R. Tolkien's spiritual biography--his religious scholarship and his love of both Christian and pagan myth--Stratford Caldecott offers a critical study of how the acclaimed author effectively created a vivid Middle Earth using the familiar rites and ceremonies of human history. And while readers and moviegoers alike may appreciate the fantasy world of The Hobbit and the Lord of the Rings trilogy, few know that in life, Tolkien was a devout Roman Catholic and that the characters, the events, and the general morality of each novel are informed by the dogmas of his faith. Revised and updated, this acclaimed study of Tolkien's achievement--previously released as Secret Fire in the UK--includes commentary on Peter Jackson's film adaptations and explores many of the fascinating stories and letters published after Tolkien's death.",2012-12-04,Stratford Caldecott
JUdOAAAACAAJ,The Lord of the Rings Sketchbook,"""In The Lord of the Rings Sketchbook Alan Lee reveals in pictures and in words how he created the watercolor paintings for the special centenary edition of The Lord of the Rings. These images would prove so powerful and evocative that they would eventually define the look of Peter Jackson's movie trilogy and earn him a coveted Academy Award."" ""The book is filled with more than 150 of his sketches and early conceptual pieces showing how the project progressed from idea to finished art. It also contains a selection of full-page paintings reproduced in full color, together with numerous examples of previously unseen conceptual art produced for the films and many new works drawn specially for this book."" ""The Lord of the Rings Sketchbook provides an insight into the imagination of the man who painted Tolkien's vision, first on the page and then in three dimensions on the movie screen. It will also be of interest to many of the thousands of people who have bought the illustrated Lord of the Rings as well as to budding artists who want to unlock the secrets of book illustration.""--BOOK JACKET.",2005,Alan Lee
LCZvVRqH-m8C,El señor de los anillos,Desconocido,1999-05,Terry Donaldson
MlwaEQAAQBAJ,Del blockbuster al autorretrato,"En este volumen, Ricardo Bedoya ofrece una visión panorámica de ciertos motivos, tendencias estilísticas y tratamientos rastreables en el cine internacional desde el inicio del siglo XXI. El volumen recoge apuntes sobre centenares de filmes, sopesados desde la perspectiva de un cinéfilo que no reconoce placeres culposos ni jerarquías entre las películas consideradas de arte y ensayo y aquellas que no abrigan tales pretensiones. El volumen se organiza a partir de algunas de las líneas recurrentes en el cine producido desde el año 2000. Comienza con una mirada a los títulos finales o póstumos de cineastas que cerraron sus carreras a inicios del siglo y sigue con un repaso por las distintas modalidades narrativas del cine de no ficción. El repaso continúa con una revisión de los diálogos que se establecen con los géneros cinematográficos, desde el wéstern hasta el terror, siempre vigentes, pero releídos a la luz de las sensibilidades contemporáneas, y presta atención también a las franquicias que abundan en secuelas, precuelas, reboots y spin offs. Otras líneas de aproximación incluyen los modos de imaginar cuerpos y mentes en el nuevo siglo, así como las miradas a la historia y a los conflictos de la actualidad o a la construcción de identidades e intimidades de individuos y grupos, entre otras tendencias del cine del nuevo siglo. Un libro imprescindible para quien quiera orientarse en la diversidad y riqueza de la cinematografía contemporánea.",2024-08-15,Ricardo Bedoya
RTDeDwAAQBAJ,"Handbook of Research on Transmedia Storytelling, Audience Engagement, and Business Strategies","As media evolves with technological improvement, communication changes alongside it. In particular, storytelling and narrative structure have adapted to the new digital landscape, allowing creators to weave immersive and enticing experiences that captivate viewers. These experiences have great potential in marketing and advertising, but the medium’s methods are so young that their potential and effectiveness is not yet fully understood. Handbook of Research on Transmedia Storytelling, Audience Engagement, and Business Strategies is a collection of innovative research that explores transmedia storytelling and digital marketing strategies in relation to audience engagement. Highlighting a wide range of topics including promotion strategies, business models, and prosumers and influencers, this book is ideally designed for digital creators, advertisers, marketers, consumer analysts, media professionals, entrepreneurs, managers, executives, researchers, academicians, and students.",2020-04-24,"Hernández-Santaolalla, Víctor, Barrientos-Bueno, Mónica"
